"x","y_obs","weight","y_calc","y_bkg"
22.618,58.0,0.01724,44.117,43.731
22.634,46.0,0.02174,44.115,43.727
22.65,39.0,0.02564,44.114,43.724
22.666,42.0,0.02381,44.112,43.721
22.682,57.0,0.01754,44.111,43.717
22.698,49.0,0.02041,44.11,43.714
22.714,38.0,0.02632,44.108,43.71
22.73,35.0,0.02857,44.107,43.707
22.746,31.0,0.03226,44.106,43.703
22.762,27.0,0.03704,44.105,43.7
22.778,41.0,0.02439,44.103,43.696
22.794,38.0,0.02632,44.102,43.693
22.81,54.0,0.01852,44.101,43.689
22.826,36.0,0.02778,44.1,43.686
22.842,30.0,0.03333,44.099,43.683
22.858,38.0,0.02632,44.098,43.679
22.874,52.0,0.01923,44.098,43.676
22.89,42.0,0.02381,44.097,43.672
22.906,48.0,0.02083,44.096,43.669
22.922,30.0,0.03333,44.095,43.665
22.938,40.0,0.025,44.095,43.662
22.954,54.0,0.01852,44.094,43.658
22.97,36.0,0.02778,44.094,43.655
22.986,28.0,0.03571,44.094,43.651
23.002,33.0,0.0303,44.093,43.648
23.018,44.0,0.02273,44.093,43.644
23.034,38.0,0.02632,44.093,43.641
23.05,44.0,0.02273,44.093,43.637
23.066,42.0,0.02381,44.093,43.634
23.082,44.0,0.02273,44.093,43.631
23.098,43.0,0.02326,44.094,43.627
23.114,43.0,0.02326,44.094,43.624
23.13,39.0,0.02564,44.095,43.62
23.146,40.0,0.025,44.097,43.617
23.162,35.0,0.02857,44.101,43.613
23.178,42.0,0.02381,44.108,43.61
23.194,50.0,0.02,44.12,43.606
23.21,41.0,0.02439,44.137,43.603
23.226,48.0,0.02083,44.158,43.599
23.242,51.0,0.01961,44.181,43.596
23.258,32.0,0.03125,44.201,43.592
23.274,41.0,0.02439,44.212,43.589
23.29,40.0,0.025,44.213,43.585
23.306,52.0,0.01923,44.207,43.582
23.322,48.0,0.02083,44.195,43.578
23.338,44.0,0.02273,44.179,43.575
23.354,36.0,0.02778,44.16,43.571
23.37,39.0,0.02564,44.144,43.568
23.386,48.0,0.02083,44.131,43.564
23.402,44.0,0.02273,44.122,43.561
23.418,38.0,0.02632,44.117,43.557
23.434,46.0,0.02174,44.115,43.553
23.45,46.0,0.02174,44.115,43.55
23.466,48.0,0.02083,44.116,43.546
23.482,39.0,0.02564,44.118,43.543
23.498,39.0,0.02564,44.12,43.539
23.514,41.0,0.02439,44.122,43.536
23.53,46.0,0.02174,44.124,43.532
23.546,43.0,0.02326,44.126,43.529
23.562,38.0,0.02632,44.129,43.525
23.578,41.0,0.02439,44.132,43.522
23.594,43.0,0.02326,44.135,43.518
23.61,45.0,0.02222,44.138,43.515
23.626,42.0,0.02381,44.141,43.511
23.642,43.0,0.02326,44.145,43.508
23.658,48.0,0.02083,44.148,43.504
23.674,47.0,0.02128,44.152,43.5
23.69,42.0,0.02381,44.156,43.497
23.706,39.0,0.02564,44.16,43.493
23.722,37.0,0.02703,44.165,43.49
23.738,32.0,0.03125,44.169,43.486
23.754,35.0,0.02857,44.174,43.483
23.77,43.0,0.02326,44.179,43.479
23.786,38.0,0.02632,44.184,43.476
23.802,36.0,0.02778,44.189,43.472
23.818,41.0,0.02439,44.195,43.468
23.834,32.0,0.03125,44.2,43.465
23.85,32.0,0.03125,44.207,43.461
23.866,40.0,0.025,44.213,43.458
23.882,36.0,0.02778,44.219,43.454
23.898,42.0,0.02381,44.226,43.451
23.914,42.0,0.02381,44.233,43.447
23.93,38.0,0.02632,44.24,43.443
23.946,39.0,0.02564,44.248,43.44
23.962,47.0,0.02128,44.256,43.436
23.978,39.0,0.02564,44.264,43.433
23.994,43.0,0.02326,44.272,43.429
24.01,45.0,0.02222,44.281,43.426
24.026,35.0,0.02857,44.29,43.422
24.042,33.0,0.0303,44.3,43.418
24.058,34.0,0.02941,44.31,43.415
24.074,31.0,0.03226,44.32,43.411
24.09,44.0,0.02273,44.33,43.408
24.106,38.0,0.02632,44.341,43.404
24.122,35.0,0.02857,44.353,43.4
24.138,33.0,0.0303,44.365,43.397
24.154,30.0,0.03333,44.377,43.393
24.17,26.0,0.03846,44.39,43.39
24.186,40.0,0.025,44.403,43.386
24.202,50.0,0.02,44.417,43.382
24.218,45.0,0.02222,44.431,43.379
24.234,34.0,0.02941,44.446,43.375
24.25,34.0,0.02941,44.461,43.372
24.266,43.0,0.02326,44.477,43.368
24.282,48.0,0.02083,44.494,43.364
24.298,48.0,0.02083,44.511,43.361
24.314,40.0,0.025,44.529,43.357
24.33,32.0,0.03125,44.548,43.354
24.346,27.0,0.03704,44.567,43.35
24.362,32.0,0.03125,44.587,43.346
24.378,41.0,0.02439,44.608,43.343
24.394,40.0,0.025,44.63,43.339
24.41,32.0,0.03125,44.652,43.336
24.426,39.0,0.02564,44.676,43.332
24.442,44.0,0.02273,44.701,43.328
24.458,39.0,0.02564,44.726,43.325
24.474,33.0,0.0303,44.753,43.321
24.49,38.0,0.02632,44.781,43.317
24.506,41.0,0.02439,44.81,43.314
24.522,41.0,0.02439,44.84,43.31
24.538,44.0,0.02273,44.872,43.306
24.554,42.0,0.02381,44.904,43.303
24.57,40.0,0.025,44.939,43.299
24.586,39.0,0.02564,44.975,43.296
24.602,27.0,0.03704,45.012,43.292
24.618,45.0,0.02222,45.052,43.288
24.634,39.0,0.02564,45.093,43.285
24.65,44.0,0.02273,45.136,43.281
24.666,35.0,0.02857,45.227,43.277
24.682,35.0,0.02857,45.274,43.274
24.698,37.0,0.02703,45.324,43.27
24.714,41.0,0.02439,45.376,43.266
24.73,41.0,0.02439,45.431,43.263
24.746,34.0,0.02941,45.519,43.259
24.762,34.0,0.02941,45.58,43.255
24.778,46.0,0.02174,45.643,43.252
24.794,45.0,0.02222,45.71,43.248
24.81,47.0,0.02128,45.781,43.244
24.826,47.0,0.02128,45.855,43.241
24.842,44.0,0.02273,45.934,43.237
24.858,44.0,0.02273,46.016,43.233
24.874,52.0,0.01923,46.104,43.23
24.89,51.0,0.01961,46.196,43.226
24.906,47.0,0.02128,46.294,43.222
24.922,50.0,0.02,46.398,43.219
24.938,54.0,0.01852,46.508,43.215
24.954,55.0,0.01818,46.625,43.211
24.97,60.0,0.01667,46.75,43.208
24.986,64.0,0.01562,46.882,43.204
25.002,55.0,0.01818,47.024,43.2
25.018,49.0,0.02041,47.174,43.197
25.034,52.0,0.01923,47.336,43.193
25.05,49.0,0.02041,47.508,43.189
25.066,44.0,0.02273,47.693,43.185
25.082,54.0,0.01852,47.892,43.182
25.098,57.0,0.01754,48.106,43.178
25.114,54.0,0.01852,48.336,43.174
